"","Time","scenario","summary_stat","cumulative_ICU","number"
"463",2020-08-10,"B","Median",1785.75226618602,0
"464",2020-08-11,"B","Median",1911.58954798054,0
"465",2020-08-12,"B","Median",2040.39235637076,0
"466",2020-08-13,"B","Median",2176.78553453756,0
"467",2020-08-14,"B","Median",2302.95240656128,0
"468",2020-08-15,"B","Median",2434.63422364007,0
"469",2020-08-16,"B","Median",2572.44704529995,0
"470",2020-08-17,"B","Median",2716.76636761513,0
"471",2020-08-18,"B","Median",2848.30823592514,0
"472",2020-08-19,"B","Median",2972.58613220039,0
"473",2020-08-20,"B","Median",3120.89981375932,0
"474",2020-08-21,"B","Median",3259.77817752901,0
"475",2020-08-22,"B","Median",3412.4212408769,0
"476",2020-08-23,"B","Median",3512.57846342186,0
"477",2020-08-24,"B","Median",3620.84215703333,0
"478",2020-08-25,"B","Median",3727.90953681359,0
"479",2020-08-26,"B","Median",3819.93367258172,0
"480",2020-08-27,"B","Median",3866.73462897639,0
"481",2020-08-28,"B","Median",3898.88922032691,0
"482",2020-08-29,"B","Median",3933.89276152114,0
"483",2020-08-30,"B","Median",3936.46443693654,0
"484",2020-08-31,"B","Median",3947.92857312418,0
"485",2020-09-01,"B","Median",3922.1870518347,0
"486",2020-09-02,"B","Median",3896.55634768548,0
"487",2020-09-03,"B","Median",3860.57087636164,0
"488",2020-09-04,"B","Median",3821.70753326565,0
"489",2020-09-05,"B","Median",3792.49135478532,0
"490",2020-09-06,"B","Median",3747.0286774673,0
"491",2020-09-07,"B","Median",3697.97918619844,0
"492",2020-09-08,"B","Median",3615.74735072283,0
"493",2020-09-09,"B","Median",3565.30617362908,0
"494",2020-09-10,"B","Median",3539.50306037005,0
"495",2020-09-11,"B","Median",3466.47917890728,0
"496",2020-09-12,"B","Median",3411.64654775669,0
"497",2020-09-13,"B","Median",3349.18872502131,0
"498",2020-09-14,"B","Median",3298.87325871127,0
"499",2020-09-15,"B","Median",3221.54466997595,0
"500",2020-09-16,"B","Median",3155.88417509051,0
"501",2020-09-17,"B","Median",3109.86778791622,0
"502",2020-09-18,"B","Median",3028.63231266736,0
"503",2020-09-19,"B","Median",2974.38443150982,0
"504",2020-09-20,"B","Median",2926.53968812979,0
"505",2020-09-21,"B","Median",2864.92531616382,0
"506",2020-09-22,"B","Median",2810.13668314605,0
"507",2020-09-23,"B","Median",2770.34398919767,0
"508",2020-09-24,"B","Median",2700.49815962609,0
"509",2020-09-25,"B","Median",2642.79008158178,0
"510",2020-09-26,"B","Median",2580.86735231006,0
"511",2020-09-27,"B","Median",2504.69188117838,0
"512",2020-09-28,"B","Median",2452.41073489136,0
"513",2020-09-29,"B","Median",2380.04540859573,0
"514",2020-09-30,"B","Median",2329.01399418555,0
"515",2020-10-01,"B","Median",2250.52730835613,0
"516",2020-10-02,"B","Median",2171.17958813458,0
"517",2020-10-03,"B","Median",2107.19558245677,0
"518",2020-10-04,"B","Median",2033.95068296492,0
"519",2020-10-05,"B","Median",1954.60782960676,0
"520",2020-10-06,"B","Median",1889.97704755354,0
"521",2020-10-07,"B","Median",1810.05572750016,0
"522",2020-10-08,"B","Median",1724.59277769615,0
"523",2020-10-09,"B","Median",1639.19359832137,0
"524",2020-10-10,"B","Median",1558.43531831189,0
"525",2020-10-11,"B","Median",1481.0710822027,0
"526",2020-10-12,"B","Median",1401.02009823693,0
"527",2020-10-13,"B","Median",1324.01960600054,0
"528",2020-10-14,"B","Median",1268.67557341177,0
"529",2020-10-15,"B","Median",1201.03477620058,0
"530",2020-10-16,"B","Median",1128.38000383723,0
"531",2020-10-17,"B","Median",1071.51688833338,0
"532",2020-10-18,"B","Median",1007.49119007612,0
"533",2020-10-19,"B","Median",945.908923870772,0
"534",2020-10-20,"B","Median",890.685760107509,0
"535",2020-10-21,"B","Median",841.515477245596,0
"536",2020-10-22,"B","Median",796.724729890189,0
"537",2020-10-23,"B","Median",747.904795020966,0
"538",2020-10-24,"B","Median",701.602021107731,0
