"","Time","scenario","summary_stat","incident_death","cum_death"
"945",2020-04-14,"D","Median",0.183108276760253,4.22385782395036
"946",2020-04-15,"D","Median",0.191103614755591,4.41496143870595
"947",2020-04-16,"D","Median",0.172493829552727,4.58745526825868
"948",2020-04-17,"D","Median",0.172493829552727,4.7599490978114
"949",2020-04-18,"D","Median",0.172493829552727,4.93244292736413
"950",2020-04-19,"D","Median",0.172493829552727,5.10493675691686
"951",2020-04-20,"D","Median",0.172493829552727,5.27743058646958
"952",2020-04-21,"D","Median",0.172493829552727,5.44992441602231
"953",2020-04-22,"D","Median",0.172493829552727,5.62241824557504
"954",2020-04-23,"D","Median",0.172493829552727,5.79491207512777
"955",2020-04-24,"D","Median",0.172493829552727,5.96740590468049
"956",2020-04-25,"D","Median",0.172493829552727,6.13989973423322
"957",2020-04-26,"D","Median",0.172493829552727,6.31239356378595
"958",2020-04-27,"D","Median",0.176491498550396,6.48888506233634
"959",2020-04-28,"D","Median",0.176491498550396,6.66537656088674
"960",2020-04-29,"D","Median",0.180489167548065,6.8458657284348
"961",2020-04-30,"D","Median",0.180489167548065,7.02635489598287
"962",2020-05-01,"D","Median",0.19510128375326,7.22145617973613
"963",2020-05-02,"D","Median",0.199098952750929,7.42055513248706
"964",2020-05-03,"D","Median",0.199098952750929,7.61965408523799
"965",2020-05-04,"D","Median",0.199098952750929,7.81875303798891
"966",2020-05-05,"D","Median",0.203096621748598,8.02184965973751
"967",2020-05-06,"D","Median",0.218708737953793,8.2405583976913
"968",2020-05-07,"D","Median",0.203096621748598,8.4436550194399
"969",2020-05-08,"D","Median",0.203096621748598,8.6467516411885
"970",2020-05-09,"D","Median",0.208749068049314,8.85550070923781
"971",2020-05-10,"D","Median",0.222706406951462,9.07820711618928
"972",2020-05-11,"D","Median",0.222706406951462,9.30091352314074
"973",2020-05-12,"D","Median",0.226704075949131,9.52761759908987
"974",2020-05-13,"D","Median",0.264923646354859,9.79254124544473
"975",2020-05-14,"D","Median",0.393821676718708,10.1863629221634
"976",2020-05-15,"D","Median",0.435101659661684,10.6214645818251
"977",2020-05-16,"D","Median",0.532369822380941,11.1538344042061
"978",2020-05-17,"D","Median",0.565936946485953,11.719771350692
"979",2020-05-18,"D","Median",0.698832645847471,12.4186039965395
"980",2020-05-19,"D","Median",0.737052216253199,13.1556562127927
"981",2020-05-20,"D","Median",0.784267124654265,13.9399233374469
"982",2020-05-21,"D","Median",0.898553038812919,14.8384763762599
"983",2020-05-22,"D","Median",0.955382394421511,15.7938587706814
"984",2020-05-23,"D","Median",1.09327518003012,16.8871339507115
"985",2020-05-24,"D","Median",1.15810045638463,18.0452344070961
"986",2020-05-25,"D","Median",1.29599382474381,19.3412282318399
"987",2020-05-26,"D","Median",1.45315175560891,20.7943799874488
"988",2020-05-27,"D","Median",1.51532400291213,22.309703990361
"989",2020-05-28,"D","Median",1.70504905788224,24.0147530482432
"990",2020-05-29,"D","Median",1.88515966564482,25.899912713888
"991",2020-05-30,"D","Median",2.09187539660561,27.9917881104936
"992",2020-05-31,"D","Median",2.35832157263169,30.3501096831253
"993",2020-06-01,"D","Median",2.47657317554349,32.8266828586688
"994",2020-06-02,"D","Median",2.79498192896831,35.6216647876371
"995",2020-06-03,"D","Median",2.97909020572856,38.6007549933657
"996",2020-06-04,"D","Median",3.33727750141462,41.9380324947803
"997",2020-06-05,"D","Median",3.72010617114032,45.6581386659206
"998",2020-06-06,"D","Median",4.03077016932038,49.688908835241
"999",2020-06-07,"D","Median",4.45013115299139,54.1390399882324
"1000",2020-06-08,"D","Median",4.85622061353894,58.9952606017713
"1001",2020-06-09,"D","Median",5.27033451096286,64.2655951127342
"1002",2020-06-10,"D","Median",5.81922036892089,70.0848154816551
"1003",2020-06-11,"D","Median",6.47445896383123,76.5592744454863
"1004",2020-06-12,"D","Median",6.99018391566903,83.5494583611554
"1005",2020-06-13,"D","Median",7.80158102419505,91.3510393853504
"1006",2020-06-14,"D","Median",8.52897677967233,99.8800161650227
"1007",2020-06-15,"D","Median",9.27364635688597,109.153662521909
"1008",2020-06-16,"D","Median",10.0837965705078,119.237459092416
"1009",2020-06-17,"D","Median",11.1692905531088,130.406749645525
"1010",2020-06-18,"D","Median",12.102155811231,142.508905456756
"1011",2020-06-19,"D","Median",13.2008593798988,155.709764836655
"1012",2020-06-20,"D","Median",14.24602011898,169.955784955635
"1013",2020-06-21,"D","Median",15.5272638171599,185.483048772795
"1014",2020-06-22,"D","Median",17.1130498819624,202.596098654757
"1015",2020-06-23,"D","Median",18.5178578427559,221.113956497513
"1016",2020-06-24,"D","Median",19.9169919370218,241.030948434535
"1017",2020-06-25,"D","Median",21.7043069237893,262.735255358324
"1018",2020-06-26,"D","Median",23.0342899838421,285.769545342166
"1019",2020-06-27,"D","Median",25.4077961150401,311.177341457207
"1020",2020-06-28,"D","Median",27.6298108742518,338.807152331458
"1021",2020-06-29,"D","Median",29.7223900705298,368.529542401988
"1022",2020-06-30,"D","Median",31.798393881298,400.327936283286
"1023",2020-07-01,"D","Median",33.7925398970931,434.120476180379
"1024",2020-07-02,"D","Median",36.5429787694776,470.663454949857
"1025",2020-07-03,"D","Median",39.1530557033864,509.816510653243
"1026",2020-07-04,"D","Median",41.7774401875278,551.593950840771
"1027",2020-07-05,"D","Median",43.954350371439,595.54830121221
"1028",2020-07-06,"D","Median",46.8369121985036,642.385213410714
"1029",2020-07-07,"D","Median",49.3419966210555,691.727210031769
"1030",2020-07-08,"D","Median",51.7842443359736,743.511454367743
"1031",2020-07-09,"D","Median",54.3897230425229,797.901177410266
"1032",2020-07-10,"D","Median",57.3394326958083,855.240610106074
"1033",2020-07-11,"D","Median",59.718921817271,914.959531923345
"1034",2020-07-12,"D","Median",61.7409858484203,976.700517771765
"1035",2020-07-13,"D","Median",64.3617163380742,1041.06223410984
"1036",2020-07-14,"D","Median",66.2842610410031,1107.34649515084
"1037",2020-07-15,"D","Median",68.0551642400519,1175.40165939089
"1038",2020-07-16,"D","Median",69.4149460102954,1244.81660540119
"1039",2020-07-17,"D","Median",70.8237073162248,1315.64031271741
"1040",2020-07-18,"D","Median",71.0389530529827,1386.6792657704
"1041",2020-07-19,"D","Median",71.2613313664647,1457.94059713686
"1042",2020-07-20,"D","Median",71.335784512349,1529.27638164921
"1043",2020-07-21,"D","Median",71.0142795549969,1600.29066120421
"1044",2020-07-22,"D","Median",70.8327384276592,1671.12339963187
"1045",2020-07-23,"D","Median",70.3663481836903,1741.48974781556
"1046",2020-07-24,"D","Median",69.9060461457441,1811.3957939613
"1047",2020-07-25,"D","Median",69.1673712399375,1880.56316520124
"1048",2020-07-26,"D","Median",68.4825314848558,1949.04569668609
"1049",2020-07-27,"D","Median",67.9838542412696,2017.02955092736
"1050",2020-07-28,"D","Median",67.1532567868484,2084.18280771421
"1051",2020-07-29,"D","Median",66.5125940573019,2150.69540177151
"1052",2020-07-30,"D","Median",66.2640543254562,2216.95945609697
"1053",2020-07-31,"D","Median",64.954057603555,2281.91351370053
"1054",2020-08-01,"D","Median",63.8735685257497,2345.78708222628
